4580801725827803|12|2023|523
4580803720140877|07|2023|841
4580805811035130|09|2024|120
4580807524712716|03|2023|041
4580808167666052|04|2025|508
4580806721178325|06|2025|855
4580808403261106|08|2023|118
4580807034300440|05|2024|218
4580804585125847|01|2026|451
4580801243778454|11|2026|484
4580801856108551|11|2026|774
4580807551172354|03|2024|511
4580802354347667|03|2025|730
4580807586051268|04|2023|651
4580800732750644|09|2023|360
4580807061023303|07|2026|853
4580803168723754|05|2025|720
4580806255580565|05|2023|235
4580801735271612|08|2025|821
4580801282464305|12|2024|050
4580807262077447|07|2026|584
4580804018100334|03|2026|587
4580806413131087|11|2023|718
4580808008585164|11|2024|563
4580801247074652|03|2025|214
4580802175183416|07|2023|828
4580805884522113|05|2026|275
4580801686374571|03|2025|584
4580804442747742|03|2024|661
4580807808013542|07|2025|201
4580807616780274|01|2023|445
4580806661145672|04|2024|326
4580805218101170|12|2026|145
4580808820874481|01|2025|403
4580802231500405|10|2025|425
4580802872674444|10|2026|480
4580807836062446|08|2024|764
4580803304712265|09|2025|586
4580801430435025|06|2023|525
4580801471643776|10|2024|328
4580800818718556|02|2024|656
4580803457532668|01|2023|063
4580805521848376|06|2023|780
4580806234842375|08|2024|164
4580800012730357|05|2025|553
4580802168714128|12|2023|517
4580803078081368|02|2023|068
4580807082855576|05|2025|448
4580805231384381|01|2025|388
4580800532232371|04|2025|073
4580806666138581|05|2023|017
4580802643442642|03|2024|243
4580804686226072|08|2023|372
4580804004106360|03|2023|261
4580805868777774|12|2023|310
4580801710554131|12|2023|181
4580808455072740|08|2026|602
4580805670187741|10|2024|035
4580806517861654|06|2025|243
4580808776861706|10|2024|443
4580804156766821|02|2026|143
4580801133373788|04|2024|362
4580802143610607|11|2023|808
4580808261521153|03|2025|142
4580805672602457|06|2025|837
4580800361731311|02|2026|227
4580801352827621|07|2026|725
4580807338057316|05|2024|153
4580800056532735|01|2026|802
4580801087381035|07|2023|815
4580804612360607|02|2026|136
4580803648330105|09|2026|323
4580808574553646|02|2023|745
4580805620136707|08|2024|860
4580802477321425|08|2025|506
4580806342015872|11|2025|612
4580803731617244|03|2025|402
4580805323812372|06|2025|524
4580803336186165|09|2023|663
4580801664274744|08|2026|760
4580803515268271|07|2023|444
4580802185525572|03|2025|320
4580806515310878|02|2024|607
4580804254050243|04|2025|614
4580802816304413|05|2025|417
4580802588241215|10|2024|066
4580802482106324|11|2025|554
4580803764773260|10|2025|473
4580806312667884|07|2023|112
4580802047864300|06|2025|465
4580803752333150|09|2023|174
4580800578780812|09|2024|402
4580803584735077|07|2026|783
4580801065077126|09|2025|607
4580805378126686|05|2023|031
4580807238673527|04|2023|565
4580800422721640|05|2024|170
4580802750764382|05|2024|748
4580800237242774|02|2025|371
4580800105033826|04|2023|222
